,jaar,maand,brandstof_omschrijving,aantal,cum aantal
264,1963,jul,LPG,2,67
265,1963,aug,Benzine,49,4755
266,1963,aug,Diesel,1,96
267,1963,sep,Benzine,48,4803
268,1963,sep,Diesel,3,99
269,1963,okt,Benzine,70,4873
270,1963,okt,Diesel,1,100
271,1963,okt,LPG,1,68
272,1963,nov,Benzine,45,4918
273,1963,nov,LPG,2,70
274,1963,dec,Benzine,42,4960
275,1963,dec,Diesel,1,101
276,1963,dec,LPG,1,71
277,1964,jan,Benzine,71,5031
278,1964,jan,Diesel,1,102
279,1964,jan,LPG,1,72
280,1964,feb,Benzine,80,5111
281,1964,feb,Diesel,4,106
282,1964,feb,LPG,4,76
283,1964,mrt,Benzine,93,5204
284,1964,mrt,Diesel,2,108
285,1964,mrt,LPG,7,83
286,1964,apr,Benzine,109,5313
287,1964,apr,Diesel,2,110
288,1964,apr,LPG,4,87
289,1964,mei,Benzine,114,5427
290,1964,mei,Diesel,2,112
291,1964,mei,LPG,4,91
292,1964,jun,Benzine,127,5554
293,1964,jun,Diesel,2,114
294,1964,jun,LPG,6,97
295,1964,jul,Benzine,142,5696
296,1964,jul,Diesel,1,115
297,1964,jul,LPG,7,104
298,1964,aug,Benzine,80,5776
299,1964,aug,Diesel,2,117
300,1964,aug,LPG,3,107
301,1964,sep,Benzine,78,5854
302,1964,sep,Diesel,4,121
303,1964,sep,LPG,2,109
304,1964,okt,Benzine,84,5938
305,1964,okt,Diesel,3,124
306,1964,okt,LPG,3,112
307,1964,nov,Benzine,73,6011
308,1964,nov,Diesel,1,125
309,1964,nov,LPG,3,115
310,1964,dec,Benzine,57,6068
311,1964,dec,Diesel,2,127
312,1964,dec,LPG,8,123
313,1965,jan,Benzine,96,6164
314,1965,jan,LPG,5,128
315,1965,feb,Benzine,109,6273
316,1965,feb,Diesel,4,131
317,1965,feb,LPG,8,136
318,1965,mrt,Benzine,176,6449
319,1965,mrt,Diesel,5,136
320,1965,mrt,LPG,10,146
321,1965,apr,Benzine,167,6616
322,1965,apr,Diesel,3,139
323,1965,apr,LPG,8,154
324,1965,mei,Benzine,153,6769
325,1965,mei,Diesel,2,141
326,1965,mei,LPG,10,164
327,1965,jun,Benzine,169,6938
328,1965,jun,Diesel,4,145
329,1965,jun,LPG,8,172
330,1965,jul,Benzine,167,7105
331,1965,jul,Diesel,3,148
332,1965,jul,LPG,3,175
333,1965,aug,Benzine,108,7213
334,1965,aug,Diesel,3,151
335,1965,aug,LPG,5,180
336,1965,sep,Benzine,120,7333
337,1965,sep,Diesel,4,155
338,1965,sep,LPG,5,185
339,1965,okt,Benzine,136,7469
340,1965,okt,Diesel,2,157
341,1965,okt,LPG,10,195
342,1965,nov,Benzine,144,7613
343,1965,nov,Diesel,2,159
344,1965,nov,LPG,15,210
345,1965,dec,Benzine,311,7924
346,1965,dec,Diesel,3,162
347,1965,dec,LPG,17,227
348,1966,jan,Benzine,63,7987
349,1966,jan,LPG,6,233
350,1966,feb,Benzine,55,8042
351,1966,feb,Diesel,1,163
352,1966,feb,LPG,5,238
353,1966,mrt,Benzine,107,8149
354,1966,mrt,Diesel,1,164
355,1966,mrt,LPG,5,243
356,1966,apr,Benzine,157,8306
357,1966,apr,Diesel,3,167
358,1966,apr,LPG,6,249
359,1966,mei,Benzine,160,8466
360,1966,mei,Diesel,5,172
361,1966,mei,LPG,7,256
362,1966,jun,Benzine,189,8655
363,1966,jun,Diesel,3,175
364,1966,jun,LPG,15,271
365,1966,jul,Benzine,157,8812
366,1966,jul,Diesel,2,177
367,1966,jul,LPG,8,279
368,1966,aug,Benzine,119,8931
369,1966,aug,Diesel,5,182
370,1966,aug,LPG,4,283
371,1966,sep,Benzine,138,9069
372,1966,sep,Diesel,5,187
373,1966,sep,LPG,10,293
374,1966,okt,Benzine,109,9178
375,1966,okt,Diesel,4,191
376,1966,okt,LPG,4,297
377,1966,nov,Benzine,128,9306
378,1966,nov,Diesel,4,195
379,1966,nov,LPG,12,309
380,1966,dec,Benzine,107,9413
381,1966,dec,Diesel,4,199
382,1966,dec,LPG,13,322
383,1967,jan,Benzine,131,9544
384,1967,jan,Diesel,3,202
385,1967,jan,LPG,16,338
386,1967,feb,Benzine,150,9694
387,1967,feb,Diesel,7,209
388,1967,feb,LPG,14,352
389,1967,mrt,Benzine,266,9960
390,1967,mrt,Diesel,5,214
391,1967,mrt,LPG,17,369
392,1967,apr,Benzine,187,10147
393,1967,apr,Diesel,2,216
394,1967,apr,LPG,17,386
395,1967,mei,Benzine,231,10378
396,1967,mei,Diesel,1,217
397,1967,mei,LPG,19,405
398,1967,jun,Benzine,261,10639
399,1967,jun,Diesel,1,218
400,1967,jun,LPG,15,420
401,1967,jul,Benzine,175,10814
402,1967,jul,Diesel,2,220
403,1967,jul,LPG,12,432
404,1967,aug,Benzine,133,10947
405,1967,aug,Diesel,1,221
406,1967,aug,LPG,7,439
407,1967,sep,Benzine,144,11091
408,1967,sep,Diesel,6,227
409,1967,sep,LPG,23,462
410,1967,okt,Benzine,169,11260
411,1967,okt,Diesel,2,229
412,1967,okt,Elektriciteit,1,2
413,1967,okt,LPG,13,475
414,1967,nov,Benzine,157,11417
415,1967,nov,Diesel,3,232
416,1967,nov,LPG,9,484
417,1967,dec,Benzine,114,11531
418,1967,dec,Diesel,6,238
419,1967,dec,LPG,13,497
420,1968,jan,Benzine,179,11710
421,1968,jan,Diesel,9,247
422,1968,jan,LPG,11,508
423,1968,feb,Benzine,186,11896
424,1968,feb,Diesel,7,254
425,1968,feb,LPG,13,521
426,1968,mrt,Benzine,306,12202
427,1968,mrt,Diesel,6,260
428,1968,mrt,LPG,21,542
429,1968,apr,Benzine,312,12514
430,1968,apr,Diesel,3,263
431,1968,apr,LPG,27,569
432,1968,mei,Benzine,330,12844
433,1968,mei,Diesel,2,265
434,1968,mei,LPG,17,586
435,1968,jun,Benzine,275,13119
436,1968,jun,Diesel,2,267
437,1968,jun,LPG,15,601
438,1968,jul,Benzine,266,13385
439,1968,jul,Diesel,3,270
440,1968,jul,Elektriciteit,1,3
441,1968,jul,LPG,11,612
442,1968,aug,Benzine,173,13558
443,1968,aug,Diesel,4,274
444,1968,aug,LPG,4,616
445,1968,sep,Benzine,190,13748
446,1968,sep,Diesel,3,277
447,1968,sep,LPG,12,628
448,1968,okt,Benzine,253,14001
449,1968,okt,Diesel,2,279
450,1968,okt,Elektriciteit,1,4
451,1968,okt,LPG,17,645
452,1968,nov,Benzine,210,14211
453,1968,nov,Diesel,7,286
454,1968,nov,LPG,13,658
455,1968,dec,Benzine,189,14400
456,1968,dec,Diesel,5,291
457,1968,dec,LPG,9,667
458,1969,jan,Benzine,236,14636
459,1969,jan,Diesel,6,297
460,1969,jan,LPG,16,683
461,1969,feb,Benzine,178,14814
462,1969,feb,Diesel,4,301
463,1969,feb,LPG,6,689
464,1969,mrt,Benzine,342,15156
465,1969,mrt,Diesel,7,308
466,1969,mrt,LPG,17,706
467,1969,apr,Benzine,414,15570
468,1969,apr,Diesel,4,312
469,1969,apr,LPG,24,730
470,1969,mei,Benzine,378,15948
471,1969,mei,Diesel,4,316
472,1969,mei,LPG,21,751
473,1969,jun,Benzine,360,16308
474,1969,jun,Diesel,5,321
475,1969,jun,LPG,15,766
476,1969,jul,Benzine,301,16609
477,1969,jul,Diesel,5,326
478,1969,jul,LPG,13,779
479,1969,aug,Benzine,234,16843
480,1969,aug,Diesel,5,331
481,1969,aug,LPG,10,789
482,1969,sep,Benzine,207,17050
483,1969,sep,Diesel,3,334
484,1969,sep,LPG,11,800
485,1969,okt,Benzine,263,17313
486,1969,okt,Diesel,2,336
487,1969,okt,LPG,16,816
488,1969,nov,Benzine,198,17511
489,1969,nov,Diesel,2,338
490,1969,nov,LPG,7,823
491,1969,dec,Benzine,133,17644
492,1969,dec,Diesel,4,342
493,1969,dec,LPG,5,828
494,1970,jan,Benzine,231,17875
495,1970,jan,Diesel,5,347
496,1970,jan,LPG,12,840
497,1970,feb,Benzine,218,18093
498,1970,feb,Diesel,4,351
499,1970,feb,LPG,14,854
500,1970,mrt,Benzine,293,18386
501,1970,mrt,Diesel,8,359
502,1970,mrt,LPG,23,877
503,1970,apr,Benzine,391,18777
504,1970,apr,Diesel,3,362
505,1970,apr,LPG,18,895
506,1970,mei,Benzine,379,19156
507,1970,mei,Diesel,3,365
508,1970,mei,LPG,15,910
509,1970,jun,Benzine,398,19554
510,1970,jun,Diesel,6,371
511,1970,jun,LPG,20,930
512,1970,jul,Benzine,353,19907
513,1970,jul,Diesel,8,379
514,1970,jul,LPG,22,952
515,1970,aug,Benzine,269,20176
516,1970,aug,Diesel,4,383
517,1970,aug,Elektriciteit,1,5
518,1970,aug,LPG,12,964
519,1970,sep,Benzine,314,20490
520,1970,sep,Diesel,7,390
521,1970,sep,Elektriciteit,1,6
522,1970,sep,LPG,4,968
523,1970,okt,Benzine,342,20832
524,1970,okt,Diesel,6,396
525,1970,okt,LPG,16,984
526,1970,nov,Benzine,348,21180
527,1970,nov,Diesel,3,399
528,1970,nov,LPG,21,1005
529,1970,dec,Benzine,327,21507
530,1970,dec,Diesel,3,402
531,1970,dec,LPG,22,1027
532,1971,jan,Benzine,290,21797
533,1971,jan,Diesel,12,414
534,1971,jan,LPG,14,1041
535,1971,feb,Benzine,223,22020
536,1971,feb,Diesel,5,419
537,1971,feb,LPG,10,1051
538,1971,mrt,Benzine,403,22423
539,1971,mrt,Diesel,9,428
540,1971,mrt,LPG,32,1083
541,1971,apr,Benzine,497,22920
542,1971,apr,Diesel,6,434
543,1971,apr,LPG,24,1107
544,1971,mei,Benzine,443,23363
545,1971,mei,Diesel,9,443
546,1971,mei,LPG,27,1134
547,1971,jun,Benzine,451,23814
548,1971,jun,Diesel,13,456
549,1971,jun,Elektriciteit,1,7
550,1971,jun,LPG,22,1156
551,1971,jul,Benzine,328,24142
552,1971,jul,Diesel,7,463
553,1971,jul,LPG,19,1175
554,1971,aug,Benzine,319,24461
555,1971,aug,Diesel,11,474
556,1971,aug,LPG,12,1187
557,1971,sep,Benzine,333,24794
558,1971,sep,Diesel,10,484
559,1971,sep,LPG,18,1205
560,1971,okt,Benzine,356,25150
561,1971,okt,Diesel,8,492
562,1971,okt,LPG,27,1232
563,1971,nov,Benzine,301,25451
564,1971,nov,Diesel,1,493
565,1971,nov,LPG,13,1245
566,1971,dec,Benzine,229,25680
567,1971,dec,Diesel,7,500
568,1971,dec,Elektriciteit,1,8
569,1971,dec,LPG,4,1249
570,1972,jan,Benzine,422,26102
571,1972,jan,Diesel,17,517
572,1972,jan,LPG,21,1270
573,1972,feb,Benzine,370,26472
574,1972,feb,Diesel,13,530
575,1972,feb,LPG,21,1291
